Target,Variable,Method,Batch,evalt,Low Similarity Count,Novelty Error
target_CHEMBL279,None,xgboost,6,scaffold_CV,16,0.9155233624999999
target_CHEMBL279,None,xgboost,7,scaffold_CV,19,0.5719753368421052
target_CHEMBL279,None,xgboost,8,scaffold_CV,11,0.8147707181818181
target_CHEMBL279,None,xgboost,9,scaffold_CV,11,0.9627141090909089
target_CHEMBL279,None,xgboost,10,scaffold_CV,15,0.8571278333333333
target_CHEMBL279,None,MLP,1,scaffold_CV,30,1.0831801321778736
target_CHEMBL279,None,MLP,2,scaffold_CV,35,0.5681588545830333
target_CHEMBL279,None,MLP,3,scaffold_CV,2,0.6897700059035938
target_CHEMBL279,None,MLP,4,scaffold_CV,27,0.6909687655268613
target_CHEMBL279,None,MLP,5,scaffold_CV,4,0.6779537023509763
target_CHEMBL279,None,MLP,6,scaffold_CV,16,1.139646914750094
target_CHEMBL279,None,MLP,7,scaffold_CV,19,0.7029531871861884
target_CHEMBL279,None,MLP,8,scaffold_CV,11,0.5115112200552626
target_CHEMBL279,None,MLP,9,scaffold_CV,11,0.9985479469398723
target_CHEMBL279,None,MLP,10,scaffold_CV,15,1.6141020655974658
