Target,Sorting_Var,Method,Testing Batch,RMSE,R2,evalt
target_CHEMBL279,None,xgboost,8,0.6795101284138119,0.6491419940795422,unsorted_fcv
target_CHEMBL279,None,xgboost,9,0.7405872573473009,0.6084911237328976,unsorted_fcv
target_CHEMBL279,None,MLP,1,1.130875841927854,-0.01799032115673116,unsorted_fcv
target_CHEMBL279,None,MLP,2,1.027759815935825,0.009018281108865489,unsorted_fcv
target_CHEMBL279,None,MLP,3,0.7943190552774905,0.48569182337246364,unsorted_fcv
target_CHEMBL279,None,MLP,4,0.7965247538156555,0.3294237031395709,unsorted_fcv
target_CHEMBL279,None,MLP,5,0.7835675008314382,0.5072068516863745,unsorted_fcv
target_CHEMBL279,None,MLP,6,0.7197335695636865,0.49151397874894276,unsorted_fcv
target_CHEMBL279,None,MLP,7,0.6882291483902528,0.6188310144597854,unsorted_fcv
target_CHEMBL279,None,MLP,8,0.7009361018752518,0.6266670003325527,unsorted_fcv
target_CHEMBL279,None,MLP,9,0.8192635224452854,0.5208887384148222,unsorted_fcv
