testing batch,Total Ideal Compounds,Low Error Count,Discovery Yield,Standardized Discovery Yield,Target,Method,evalt
7,86.0,43.0,0.5,0.5465116279069767,target_CHEMBL279,xgboost,unsorted_fcv
8,82.0,44.0,0.5365853658536586,0.6151100535395597,target_CHEMBL279,xgboost,unsorted_fcv
9,85.0,46.0,0.5411764705882353,0.5984775086505191,target_CHEMBL279,xgboost,unsorted_fcv
1,94.0,24.0,0.2553191489361702,0.2553191489361702,target_CHEMBL279,MLP,unsorted_fcv
2,82.0,30.0,0.36585365853658536,0.4193932183224271,target_CHEMBL279,MLP,unsorted_fcv
3,85.0,33.0,0.38823529411764707,0.42934256055363323,target_CHEMBL279,MLP,unsorted_fcv
4,81.0,43.0,0.5308641975308642,0.616064624295077,target_CHEMBL279,MLP,unsorted_fcv
5,88.0,48.0,0.5454545454545454,0.5826446280991735,target_CHEMBL279,MLP,unsorted_fcv
6,87.0,56.0,0.6436781609195402,0.6954683577751354,target_CHEMBL279,MLP,unsorted_fcv
7,86.0,40.0,0.46511627906976744,0.5083829096809086,target_CHEMBL279,MLP,unsorted_fcv
8,82.0,50.0,0.6097560975609756,0.6989886972040451,target_CHEMBL279,MLP,unsorted_fcv
9,85.0,49.0,0.5764705882352941,0.6375086505190312,target_CHEMBL279,MLP,unsorted_fcv
