testing batch,Total Ideal Compounds,Low Error Count,Discovery Yield,Standardized Discovery Yield,Target,Variable,Method,evalt
2,84.0,50.0,0.5952380952380952,0.7440476190476191,target_CHEMBL279,logp,RF,sorted_fcv
3,96.0,53.0,0.5520833333333334,0.6038411458333334,target_CHEMBL279,logp,RF,sorted_fcv
4,82.0,38.0,0.4634146341463415,0.5933967876264129,target_CHEMBL279,logp,RF,sorted_fcv
5,73.0,37.0,0.5068493150684932,0.7290298367423532,target_CHEMBL279,logp,RF,sorted_fcv
6,69.0,38.0,0.5507246376811594,0.8380592312539383,target_CHEMBL279,logp,RF,sorted_fcv
7,71.0,34.0,0.4788732394366197,0.7081928188851419,target_CHEMBL279,logp,RF,sorted_fcv
8,78.0,43.0,0.5512820512820513,0.7421104536489153,target_CHEMBL279,logp,RF,sorted_fcv
9,93.0,54.0,0.5806451612903226,0.6555671175858482,target_CHEMBL279,logp,RF,sorted_fcv
1,105.0,67.0,0.638095238095238,0.638095238095238,target_CHEMBL279,logp,xgboost,sorted_fcv
2,84.0,44.0,0.5238095238095238,0.6547619047619048,target_CHEMBL279,logp,xgboost,sorted_fcv
3,96.0,49.0,0.5104166666666666,0.5582682291666666,target_CHEMBL279,logp,xgboost,sorted_fcv
4,82.0,37.0,0.45121951219512196,0.5777810826888757,target_CHEMBL279,logp,xgboost,sorted_fcv
5,73.0,43.0,0.589041095890411,0.8472508913492213,target_CHEMBL279,logp,xgboost,sorted_fcv
6,69.0,36.0,0.5217391304347826,0.7939508506616257,target_CHEMBL279,logp,xgboost,sorted_fcv
7,71.0,36.0,0.5070422535211268,0.7498512199960325,target_CHEMBL279,logp,xgboost,sorted_fcv
8,78.0,44.0,0.5641025641025641,0.7593688362919133,target_CHEMBL279,logp,xgboost,sorted_fcv
9,93.0,58.0,0.6236559139784946,0.7041276448144295,target_CHEMBL279,logp,xgboost,sorted_fcv
1,105.0,31.0,0.29523809523809524,0.29523809523809524,target_CHEMBL279,logp,MLP,sorted_fcv
2,84.0,30.0,0.35714285714285715,0.44642857142857145,target_CHEMBL279,logp,MLP,sorted_fcv
3,96.0,35.0,0.3645833333333333,0.3987630208333333,target_CHEMBL279,logp,MLP,sorted_fcv
4,82.0,34.0,0.4146341463414634,0.5309339678762641,target_CHEMBL279,logp,MLP,sorted_fcv
5,73.0,32.0,0.4383561643835616,0.6305122912366297,target_CHEMBL279,logp,MLP,sorted_fcv
6,69.0,32.0,0.463768115942029,0.7057340894770007,target_CHEMBL279,logp,MLP,sorted_fcv
7,71.0,30.0,0.4225352112676056,0.6248760166633605,target_CHEMBL279,logp,MLP,sorted_fcv
8,78.0,25.0,0.32051282051282054,0.4314595660749508,target_CHEMBL279,logp,MLP,sorted_fcv
9,93.0,44.0,0.4731182795698925,0.5341657995143948,target_CHEMBL279,logp,MLP,sorted_fcv
